trade_no,symbol,version,direction,signal_type,signal_price,entry_price,exit_price,stop_loss,take_profit,atr,spread_pips,spread_usd,slippage_entry_pips,slippage_entry_usd,slippage_exit_pips,slippage_exit_usd,total_cost_usd,entry_time,exit_time,duration_bars,gross_pnl_pips,gross_pnl_usd,net_pnl_pips,net_pnl_usd,balance_after,lot_size
1,EURUSD,V1_Agresif,LONG,pullback,1.15612,1.15632,1.16001,1.15353,1.16001,0.00259,1.5,0.75,1.28,0.64,0.0,0.0,1.39,2026-03-09 13:00:00+00:00,2026-03-09 21:00:00+00:00,8,36.83,18.4143,34.05,17.0243,67.02,0.05
2,EURUSD,V1_Agresif,LONG,pullback,1.16605,1.16613,1.16391,1.16397,1.16917,0.00208,1.5,0.75,0.05,0.025,0.55,0.275,1.05,2026-03-10 09:00:00+00:00,2026-03-10 12:00:00+00:00,3,-21.63,-10.8141,-23.73,-11.8641,55.16,0.05
3,EURUSD,V1_Agresif,LONG,pullback,1.16325,1.16337,1.16158,1.16172,1.16554,0.00153,1.5,0.75,0.45,0.225,1.47,0.735,1.71,2026-03-11 07:00:00+00:00,2026-03-11 09:00:00+00:00,2,-16.46,-8.2282,-19.88,-9.9382,45.22,0.05
4,EURUSD,V1_Agresif,LONG,bb_bounce,1.15945,1.15966,1.15757,1.15775,1.162,0.0017,1.5,0.75,1.35,0.675,1.78,0.89,2.315,2026-03-11 13:00:00+00:00,2026-03-11 14:00:00+00:00,1,-19.13,-9.5637,-23.76,-11.8787,33.34,0.05
5,EURUSD,V1_Agresif,LONG,bb_bounce,1.1582,1.15829,1.15625,1.15633,1.161,0.00187,1.5,0.75,0.17,0.085,0.84,0.42,1.255,2026-03-11 16:00:00+00:00,2026-03-11 18:00:00+00:00,2,-19.6,-9.8011,-22.11,-11.0561,22.28,0.05
6,EURUSD,V1_Agresif,SHORT,pullback,1.15712,1.15704,1.15439,1.15894,1.15439,0.00182,1.5,0.75,0.06,0.03,0.0,0.0,0.78,2026-03-11 19:00:00+00:00,2026-03-12 01:00:00+00:00,6,26.46,13.2282,24.9,12.4482,34.73,0.05
7,EURUSD,V1_Agresif,SHORT,pullback,1.15395,1.15383,1.15554,1.15544,1.15171,0.00149,1.5,0.75,0.44,0.22,1.01,0.505,1.475,2026-03-12 07:00:00+00:00,2026-03-12 10:00:00+00:00,3,-16.11,-8.0527,-19.06,-9.5277,25.2,0.05
8,EURUSD,V1_Agresif,SHORT,pullback,1.15205,1.15197,1.1496,1.15368,1.1496,0.00163,1.5,0.75,0.05,0.025,0.0,0.0,0.775,2026-03-12 16:00:00+00:00,2026-03-13 08:00:00+00:00,16,23.72,11.8597,22.17,11.0847,36.28,0.05
9,EURUSD,V1_Agresif,SHORT,pullback,1.14779,1.14768,1.14534,1.14942,1.14534,0.00163,1.5,0.75,0.4,0.2,0.0,0.0,0.95,2026-03-13 14:00:00+00:00,2026-03-13 17:00:00+00:00,3,23.33,11.6671,21.43,10.7171,47.0,0.05
10,EURUSD,V1_Agresif,SHORT,bb_bounce,1.14885,1.14864,1.15065,1.15054,1.14631,0.00169,1.5,0.75,1.3,0.65,1.09,0.545,1.945,2026-03-16 16:00:00+00:00,2026-03-16 20:00:00+00:00,4,-18.99,-9.4941,-22.88,-11.4391,35.56,0.05
11,EURUSD,V1_Agresif,LONG,pullback,1.15164,1.15176,1.15403,1.15005,1.15403,0.00159,1.5,0.75,0.44,0.22,0.0,0.0,0.97,2026-03-17 11:00:00+00:00,2026-03-17 15:00:00+00:00,4,22.73,11.3648,20.79,10.3948,45.95,0.05
12,EURUSD,V1_Agresif,LONG,pullback,1.15332,1.15351,1.15151,1.15167,1.15579,0.00165,1.5,0.75,1.18,0.59,1.62,0.81,2.15,2026-03-17 16:00:00+00:00,2026-03-18 14:00:00+00:00,22,-18.4,-9.2003,-22.7,-11.3503,34.6,0.05
13,EURUSD,V1_Agresif,SHORT,pullback,1.14509,1.14501,1.1469,1.14673,1.14262,0.00164,1.5,0.75,0.01,0.005,1.61,0.805,1.56,2026-03-19 10:00:00+00:00,2026-03-19 11:00:00+00:00,1,-17.2,-8.6021,-20.32,-10.1621,24.44,0.05
14,EURUSD,V1_Agresif,SHORT,bb_bounce,1.15141,1.1512,1.15377,1.1537,1.14797,0.00229,1.5,0.75,1.4,0.7,0.68,0.34,1.79,2026-03-19 17:00:00+00:00,2026-03-19 18:00:00+00:00,1,-25.06,-12.5325,-28.64,-14.3225,10.12,0.05
15,EURUSD,V1_Agresif,LONG,pullback,1.16126,1.16137,1.15801,1.1582,1.16585,0.00306,1.5,0.75,0.31,0.155,1.91,0.955,1.86,2026-03-23 14:00:00+00:00,2026-03-23 15:00:00+00:00,1,-31.66,-15.8308,-35.38,-17.6908,-7.57,0.05
